City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lihue,21.9789,-159.3672,28.58,70,40,6.17,US,1696980560
83,papao,-17.75,-149.55,28.82,78,82,3.11,PF,1696980019
84,mount gambier,-37.8333,140.7667,17.83,37,5,5.3,AU,1696979960
85,mangaratiba,-22.9597,-44.0406,22.48,89,100,1.16,BR,1696980515
86,aasiaat,68.7098,-52.8699,-1.86,97,100,4.9,GL,1696979970
87,nova sintra,14.8667,-24.7167,24.45,78,58,1.13,CV,1696979978
88,flying fish cove,-10.4217,105.6791,24.82,94,100,3.6,CX,1696980022
89,punta arenas,-53.15,-70.9167,6.06,75,75,8.23,CL,1696980560
90,butterworth,5.3991,100.3638,26.74,96,40,2.06,MY,1696980561
91,nar'yan-mar,67.6713,53.087,1.17,76,54,4.02,RU,1696980019
92,iwon-up,40.3231,128.6553,14.28,55,4,2.15,KP,1696980114
93,kavarna,43.4333,28.3333,9.6,58,26,4.34,BG,1696980561
94,urangan,-25.3,152.9,21.13,63,1,2.23,AU,1696980099
95,ceeldheer,3.8488,47.1806,26.35,84,62,6.67,SO,1696979984
96,sao jose da coroa grande,-8.8978,-35.1478,25.31,78,78,3.49,BR,1696980013
97,tarnby,55.6303,12.6004,16.24,94,75,5.66,DK,1696980562
98,kansas city,39.0997,-94.5786,22.16,45,0,3.6,US,1696980321
99,meadow lakes,61.6247,-149.6011,4.3,91,100,0.45,US,1696980562
100,kodiak,57.79,-152.4072,7.73,36,0,6.17,US,1696979966
101,san patricio,28.017,-97.5169,22.69,89,100,3.02,US,1696979970
102,ahero,-0.1746,34.9163,20.84,76,99,0.69,KE,1696980563
103,mercedes,-34.6515,-59.4307,21.13,79,100,1.59,AR,1696980563
104,dwarka,22.2394,68.9678,26.99,72,39,3.89,IN,1696980127
105,touros,-5.1989,-35.4608,25.73,76,43,6.55,BR,1696980086
106,bojia,26.4672,111.9681,17.3,92,96,1.17,CN,1696980564
107,hasaki,35.7333,140.8333,17.38,53,83,9.42,JP,1696979965
108,grums,59.3466,13.1091,14.28,94,75,7.2,SE,1696980564
109,swakopmund,-22.6833,14.5333,13.88,87,91,1.34,NA,1696980026
110,jamestown,42.097,-79.2353,9.8,57,100,4.12,US,1696980529
111,arkhangel'sk,64.5401,40.5433,0.07,91,39,3.03,RU,1696980048
112,marsh harbour,26.5412,-77.0636,28.46,74,100,1.69,BS,1696980565
113,kingston,17.997,-76.7936,30.53,74,20,7.72,JM,1696979975
114,greenville,35.6127,-77.3663,20.09,77,0,0.0,US,1696980299
115,blackmans bay,-43.0167,147.3167,15.29,59,69,0.38,AU,1696980566
116,taoudenni,22.6783,-3.9836,29.72,16,62,5.26,ML,1696980042
117,mersrags,57.3354,23.1246,10.27,82,100,8.38,LV,1696980567
118,mugia,43.1041,-9.2179,19.98,56,31,1.43,ES,1696979985
119,luderitz,-26.6481,15.1594,14.47,88,14,2.43,NA,1696980036
120,fatehpur,25.9333,80.8,25.32,48,2,1.04,IN,1696980567
121,hotan,37.0997,79.9269,13.77,38,1,1.3,CN,1696980567
122,kapuskasing,49.4169,-82.4331,5.0,93,75,3.09,CA,1696980036
123,las heras,-46.5419,-68.9359,8.42,32,99,3.72,AR,1696980568
124,saint-pierre,-21.3393,55.4781,21.82,60,0,2.06,RE,1696979971
125,port elizabeth,-33.918,25.5701,17.16,96,100,5.66,ZA,1696980568
126,malango,-2.9627,119.9001,20.31,83,99,0.49,ID,1696980048
127,muli,2.9167,73.5667,28.03,75,76,7.63,MV,1696980568
128,tinghir,31.5157,-5.5343,20.98,32,100,0.43,MA,1696980568
129,medeiros neto,-17.3739,-40.2206,23.38,81,17,5.88,BR,1696980569
130,ibarreta,-25.2144,-59.8585,34.89,31,70,3.75,AR,1696980569
131,srivardhan,18.0333,73.0167,26.14,82,43,3.39,IN,1696980569
132,chibougamau,49.9168,-74.3659,6.79,93,100,3.09,CA,1696980569
133,hawaiian paradise park,19.5933,-154.9731,27.15,78,100,2.57,US,1696980569
134,mejit,10.2753,170.8646,27.86,74,74,6.19,MH,1696979997
135,kenai,60.5544,-151.2583,6.72,62,100,1.54,US,1696980139
136,harper,4.375,-7.7169,25.23,88,79,2.58,LR,1696980570
137,siena,43.2167,11.4,19.17,96,82,1.1,IT,1696980570
138,marang,5.2056,103.2059,24.96,88,40,1.49,MY,1696980570
139,were ilu,10.6,39.4333,9.62,74,56,2.77,ET,1696980570
140,atafu village,-8.5421,-172.5159,28.49,77,84,4.8,TK,1696980571
141,ribeira grande,38.5167,-28.7,20.99,87,70,6.71,PT,1696979971
142,port-vila,-17.7338,168.3219,25.78,57,40,6.17,VU,1696980009
143,sao joao da barra,-21.6403,-41.0511,23.05,84,100,3.58,BR,1696980013
144,thompson,55.7435,-97.8558,11.09,58,75,1.03,CA,1696980389
145,benguela,-12.5763,13.4055,22.98,86,93,1.64,AO,1696980571
146,olonkinbyen,70.9221,-8.7187,3.41,77,100,16.65,SJ,1696980571
147,atvidaberg,58.2015,15.9977,13.32,94,100,6.02,SE,1696980572
148,mar del plata,-38.0023,-57.5575,17.19,70,0,4.63,AR,1696979853
149,dapa,9.7594,126.0531,26.84,83,100,4.92,PH,1696980572
150,hamilton,39.1834,-84.5333,15.47,45,0,3.6,US,1696980358
151,bejaia,36.7559,5.0843,18.6,82,0,2.06,DZ,1696980572
152,port augusta,-32.5,137.7667,25.66,34,0,8.62,AU,1696980048
153,afaahiti,-17.75,-149.2833,27.93,85,81,4.1,PF,1696979981
154,vila franca do campo,37.7167,-25.4333,22.23,99,91,6.22,PT,1696980010
155,barentu,15.1139,37.5928,25.1,40,1,1.97,ER,1696980573
156,souillac,-20.5167,57.5167,20.21,94,40,1.54,MU,1696980065
157,keflavik,64.0049,-22.5624,4.24,70,75,14.92,IS,1696979988
158,kapenguria,1.2511,35.0895,15.02,82,98,1.27,KE,1696980573
159,tranqueras,-31.2,-55.75,18.12,89,0,1.61,UY,1696980574
160,prineville,44.2999,-120.8345,16.06,57,75,4.63,US,1696980574
161,laguna,38.421,-121.4238,23.28,50,100,6.17,US,1696979992
162,general conesa,-40.1,-64.4333,10.32,54,95,8.29,AR,1696980574
163,guatire,10.4762,-66.5427,23.54,97,20,0.75,VE,1696980574
164,new plymouth,-39.0667,174.0833,12.4,56,70,6.91,NZ,1696980575
165,callao,-12.0667,-77.15,23.18,77,75,5.66,PE,1696980097
166,simdega,22.6167,84.5167,22.16,76,0,1.21,IN,1696980575
167,gebeit,21.0667,36.3167,27.44,41,0,1.94,SD,1696980320
168,manismata,-2.4667,111.0333,23.27,91,90,1.04,ID,1696980575
169,adamovka,51.5223,59.9396,5.55,83,70,6.26,RU,1696980575
170,tiksi,71.6872,128.8694,-12.75,99,65,0.69,RU,1696980045
171,kununurra,-15.7667,128.7333,28.99,54,87,2.57,AU,1696979992
172,antsiranana,-12.2787,49.2917,22.28,87,74,5.22,MG,1696980125
173,el calafate,-50.3408,-72.2768,2.52,71,31,4.71,AR,1696980576
174,kill devil hills,36.0307,-75.676,21.1,73,0,0.0,US,1696979993
175,oranjemund,-28.55,16.4333,15.19,89,2,2.6,NA,1696979982
